rn,unix_tstamp,synth_browser_category,synth_page_url,synth_geo_city
96,1556690340,2,https://www.ad.nl/binnenland/we-houden-van-narcisten-en-we-houden-ervan-ze-te-haten~a9607547/,Rotterdam
97,1556690380,1,https://www.ad.nl/show/superclash-peter-r-de-vries-en-mark-koster-over-olcay-gulsen-in-rtl-boulevard~aa3fc347/,Capelle aan den IJssel
98,1556690382,4,https://www.ad.nl/binnenland/amsterdams-plan-om-vervuilende-auto-s-te-weren-zaait-verdeeldheid~a3e95f84/,Amsterdam
99,1556690398,2,https://www.ad.nl/utrecht/2000-lopers-utrecht-marathon-verkeerde-kant-op-gestuurd~af80d1d3/,Hoofddorp
100,1556690421,3,https://www.ad.nl/binnenland/getraumatiseerde-veteraan-vecht-voor-erkenning-en-compensatie~a502efba/,Zwolle
101,1556690473,1,https://www.ad.nl/amersfoort/getuige-van-ernstig-ongeluk-in-bunschoten-meldt-zich-bij-politie~acd81737/,Haarlem
102,1556690494,4,https://www.ad.nl/politiek/zuid-holland-is-er-op-hoofdlijnen-uit-fvd-wil-besturen-met-vvd-en-cda~a1fdc693/,Assendelft
103,1556690494,4,https://www.ad.nl/arnhem/umit-bedacht-zich-geen-moment-en-redde-op-de-john-frostbrug-een-leven~a76d39b7/,Leerdam
104,1556690525,1,https://www.ad.nl/amersfoort/ns-wagenwerkplaats-goede-plek-voor-nieuw-stadhuis-van-amersfoort~af1896f8/,Weert
105,1556690615,1,https://www.ad.nl/show/koning-willem-alexander-en-koningin-maxima-vieren-eerste-ontmoeting-in-sevilla~a1218ddc/,Barendrecht
106,1556690971,1,https://www.ad.nl/binnenland/mobiel-internet-5g-kan-weersatellieten-blokkeren-br~a8b23b82/,Heerenveen
107,1556690983,4,https://www.ad.nl/binnenland/bijna-dubbel-zoveel-zelfmoord-onder-jeugd-dertien-mogelijke-verklaringen~a632dc20/,Hillegom
108,1556691276,3,https://www.ad.nl/waterweg/politie-vindt-34-asielzoekers-in-vrachtwagen-in-vlaardingen~a87d7a6b/,Barendrecht
109,1556691330,4,https://www.ad.nl/buitenland/undercoveroperatie-toont-hoe-duizenden-leeuwen-worden-gefokt-om-als-trofee-voor-rijke-jagers-te-eindigen~aa9fb640/,Venray
110,1556691402,3,https://www.ad.nl/europees-voetbal/ajax-krijgt-tien-miljoen-televisiegeld-spurs-200-miljoen-wat-is-eerlijk~a6d6e7ad/,Castricum
111,1556691445,1,https://www.ad.nl/buitenland/japanse-wetenschapper-verzon-aardbevingswonder~a19201d7/,Mill
112,1556691463,3,https://www.ad.nl/show/jude-law-voor-de-tweede-keer-in-huwelijksbootje-gestapt~a42edd5d/,Sint Jansteen
113,1556691542,4,https://www.ad.nl/binnenland/nieuwe-strategie-rutte-valt-kamergeleerde-baudet-aan~a78873b7/,Nijmegen
114,1556691556,1,https://www.ad.nl/show/koning-willem-alexander-en-koningin-maxima-vieren-eerste-ontmoeting-in-sevilla~a1218ddc/,Schiedam
115,1556691594,1,https://www.ad.nl/politiek/gemeenten-dreigen-jeugdzorg-en-psychische-hulp-af-te-stoten~ad54ed98/,Zoetermeer
116,1556691614,2,https://www.ad.nl/binnenland/circa-117-000-gelekte-cv-s-van-uwv-mogelijk-in-handen-criminelen~aec97d70/,Leende
117,1556691631,3,https://www.ad.nl/binnenland/dodenherdenking-vught-verstoord-door-allahu-akbar-kreten-waarschijnlijk-vanuit-pi~a09c514fb/,Leiden
118,1556691823,3,https://www.ad.nl/sport/we-zijn-maar-een-stipje-in-het-heelal-dus-een-voetbalwedstrijd-is-niet-zo-belangrijk~a2a3ff52/,Heiloo
119,1556691845,4,https://www.ad.nl/tech/ontwerpfoutje-bij-samsung-wifi-op-nieuwste-tablet-kan-wegvallen~afd79ba3/,Etten
120,1556691973,4,https://www.ad.nl/dordrecht/meer-wc-s-in-dordtse-binnenstad-en-onderzoek-naar-een-toilet-die-24-7-open-is~afc9e922/,Amsterdam
121,1556692026,4,https://www.ad.nl/buitenland/nederlandse-ondernemer-omgebracht-in-macedonie~ad7377ff/,Huijbergen
122,1556692077,3,https://www.ad.nl/buitenland/verkiezingen-istanbul-moeten-over-het-westen-zwijgt~a63deefb/,Amsterdam
123,1556692148,1,https://www.ad.nl/show/sylvie-heeft-drie-weken-na-liefdesbreuk-alweer-rijke-man-gestrikt~ae8b4df0/,Groningen
124,1556692184,4,https://www.ad.nl/utrecht/wethouder-heuvelrug-hans-nijhof-stopt-vanwege-ernstige-ziekte~a4dd3d4d/,Schiedam
125,1556692225,1,https://www.ad.nl/binnenland/peter-r-de-vries-staat-op-dodenlijst-voortvluchtige-topgangster~a79fbec0/,Dordrecht
126,1556692332,1,https://www.ad.nl/tennis/live-bertens-pakt-eerste-set-en-voorsprong-in-tweede-set~a9fb5ddc/,Marknesse
127,1556692347,3,https://www.ad.nl/den-bosch/acht-terreurverdachten-pi-vught-in-isoleercel-na-roepen-allahoe-akbar-minister-boos-respectloos~af1fe402/,Rotterdam
128,1556692371,3,https://www.ad.nl/show/bijna-5-4-miljoen-nagelbijters-zien-ajax-ten-onder-gaan~a60f283a/,Enschede
129,1556692417,3,https://www.ad.nl/tennis/live-bertens-pakt-eerste-set-en-voorsprong-in-tweede-set~a9fb5ddc/,Utrecht
130,1556692447,4,https://www.ad.nl/politiek/advies-laat-zorgverlener-zelf-uitdokteren-hoe-gezondheidszorg-beter-kan~a4b6d95e/,Amsterdam
131,1556692454,4,https://www.ad.nl/breda/jongens-schoppen-en-slaan-bredase-18-net-zo-lang-tot-ze-haar-telefoon-geeft~a7759fd4/,Amsterdam
132,1556692470,1,https://www.ad.nl/delft/tram-knalt-op-drie-auto-s-in-delft~aa3eea8c/,Alkmaar
133,1556692537,1,https://www.ad.nl/buitenlands-voetbal/liverpool-mag-blijven-dromen-na-hoofdrol-van-dijk-in-houdini-act~a216b95b/,Schiedam
134,1556692557,4,https://www.ad.nl/dossier-thijs-h/hoe-stille-thijs-veranderde-in-een-moordverdachte~ad0f2fdd/,Den Helder
135,1556692576,4,https://www.ad.nl/politiek/kamer-fluit-amsterdam-terug-wij-gaan-over-autoplannen~a0c9e5f7/,Amsterdam
136,1556692578,4,https://www.ad.nl/tech/t-mobile-steekt-de-draak-met-prijsverhoging-kpn~ad57b14f/,Dundee
137,1556692663,4,https://www.ad.nl/binnenland/als-we-wachten-gaan-we-het-niet-halen~a3ccbf29/,Swalmen
138,1556692669,4,https://www.ad.nl/bizar/2000-euro-voor-puzzelaar-die-deze-geheimzinnige-franse-rotscode-kraakt-br~a68cb39b/,The Hague
139,1556692688,1,https://www.ad.nl/buitenland/mexicaanse-worstelaar-overlijdt-tijdens-gevecht-in-londense-ring~a5f4d5f1/,Amsterdam
140,1556692747,4,https://www.ad.nl/binnenland/mexicaan-op-drugsboot-is-lid-van-drugskartel~a1492baa/,Oegstgeest
141,1556692790,3,https://www.ad.nl/binnenland/peter-r-de-vries-staat-op-dodenlijst-voortvluchtige-topgangster~a79fbec0/,Barendrecht
142,1556692862,1,https://www.ad.nl/buitenland/vader-van-verdachte-moord-julie-waarschuwde-justitie-steve-is-in-staat-om-te-doden~ac1ad57d/,Zeist
143,1556692908,4,https://www.ad.nl/binnenland/jongen-17-opgepakt-voor-moord~a44eb4ee/,Amsterdam
144,1556692941,1,https://www.ad.nl/binnenland/deze-nieuwe-politieke-partij-is-voor-een-federaal-europa~a3ffe02a/,Deventer
145,1556692988,1,https://www.ad.nl/buitenland/rutte-en-macron-praten-over-toekomst-eu-stoppen-of-doorgaan~a7a80029/,Barneveld
146,1556693001,4,https://www.ad.nl/dossier-champions-league/suarez-we-stonden-erbij-als-schooljongens-onvergeeflijk~af78411a/,Nieuwegein
147,1556693373,4,https://www.ad.nl/buitenland/erdogan-wil-nieuwe-verkiezingen-istanboel~a712d877/,Milan
148,1556693490,4,https://www.ad.nl/den-haag/paniek-in-bios-tijdens-film-over-aanslagen-mannen-staan-op-en-verspreiden-zich~ae961cdb/,Nijmegen
149,1556693617,1,https://www.ad.nl/waterweg/windmolens-langs-t-scheur-in-vlaardingen-een-stapje-dichterbij~aa5c228a/,Varsselder
150,1556693617,4,https://www.ad.nl/buitenland/record-aan-co2-in-de-atmosfeer-dit-is-geen-flauwekul-er-is-werk-aan-de-winkel-br~a154d44d/,Genk
151,1556693855,1,https://www.ad.nl/binnenland/treinverkeer-en-ov-grote-steden-plat-op-28-mei~a8530fd4/,Rio de Janeiro
152,1556693869,4,https://www.ad.nl/economie/air-france-klm-maakt-duikvlucht-door-hoge-brandstofprijzen-en-concurrentie~a3afdef2/,Oosterhout
153,1556693896,4,https://www.ad.nl/show/lil-kleine-blijft-twee-uur-lang-boeien-in-ziggo-dome~a847a279/,Rotterdam
154,1556693918,3,https://www.ad.nl/tech/google-bekeek-dit-jaar-al-miljoen-video-s-met-mogelijk-terroristische-inhoud~a2ac9aa6/,Heerhugowaard
155,1556694013,2,https://www.ad.nl/koken-en-eten/bouillonblokjes-veel-te-zout-je-verpest-je-hele-gerecht-ermee~a8336823/,l'Escala
156,1556694015,4,https://www.ad.nl/politiek/nederland-amerikaanse-haatprediker-komt-er-niet-in~aea857f4/,Weesp
157,1556694138,3,https://www.ad.nl/show/minister-slob-peinst-niet-over-hoger-salaris-voor-matthijs-van-nieuwkerk~ae44c4ec/,Bloemendaal
158,1556694227,1,https://www.ad.nl/politiek/kamer-fluit-amsterdam-terug-wij-gaan-over-autoplannen~a0c9e5f7/,Maarssen
159,1556694338,3,https://www.ad.nl/show/slob-peinst-niet-over-hoger-salaris-voor-matthijs-van-nieuwkerk~ae44c4ec/,'s-Heerenberg
160,1556694501,3,https://www.ad.nl/politiek/regeringsleiders-gaan-door-dik-en-dun-voor-sterkere-eu~a243bc4c/,No City
161,1556694502,1,https://www.ad.nl/nederlands-voetbal/live-ajax-tompoucen-in-alphen-nog-rustig-in-amsterdamse-binnenstad~a77c606e/,Eindhoven
162,1556694505,4,https://www.ad.nl/ad-werkt/mensen-slimmer-dan-dieren-echt-niet-dit-kunnen-we-van-ze-leren~a6a9123f/,The Hague
163,1556694706,2,https://www.ad.nl/utrecht/frans-bauer-keert-in-februari-terug-naar-tivolivredenburg~acdc3c2f/,Franeker
164,1556694774,4,https://www.ad.nl/politiek/kamer-staat-nog-niet-te-springen-om-landelijke-aanpak-lachgas~aedbdeec/,Soest
165,1556694889,4,https://www.ad.nl/tech/poetin-ondertekent-wet-voor-onafhankelijk-russisch-internet~a7ea4831/,Amsterdam
166,1556695040,1,https://www.ad.nl/amersfoort/wethouder-wil-actie-tegen-bpa-raadslid~a6ddd553/,Veghel
167,1556695070,3,https://www.ad.nl/buitenland/gele-hesjes-voor-25ste-keer-de-straat-op-in-frankrijk-opkomst-neemt-af~adafb83a/,Oegstgeest
168,1556695211,3,https://www.ad.nl/show/twijfel-in-nederlands-kamp-over-act-duncan-laurence~a81ecadb/,Epe
169,1556695224,4,https://www.ad.nl/binnenland/terreurverdachte-wil-niet-uit-cel-want-anders-moet-hij-ons-land-uit~a2e8993a/,Heerlen
170,1556695386,4,https://www.ad.nl/nieuws/nieuwe-ijstijd-verwacht-tegen-2030~aa724d07/,Rotterdam
171,1556695439,1,https://www.ad.nl/boxtel/boer-en-eigenaar-boos-en-geschrokken-van-actie-dierenactivisten-in-boxtel-schandalig~a103da3e/,Schiedam
172,1556695610,1,https://www.ad.nl/economie/extreem-dure-benzine-jaagt-automobilist-duitsland-in~ae656c3b/,Amsterdam
173,1556695739,4,https://www.ad.nl/binnenland/politie-vraagt-hulp-publiek-na-aanval-hond-op-koe-het-was-verschrikkelijk-om-te-zien~a8b540c5/,Vorden
174,1556695819,1,https://www.ad.nl/binnenland/vlaggenetiquette-hoe-hoort-het-eigenlijk~a1842872/,Utrecht
175,1556695878,4,https://www.ad.nl/den-bosch/terreurafdeling-pi-vught-schreeuwde-allahoe-akbar-tijdens-dodenherdenking-aanstichter-in-isoleercel~a052ed74/,Barendrecht
176,1556696046,4,https://www.ad.nl/tech/google-neemt-trits-privacymaatregelen-en-brengt-nest-hub-naar-nederland~a0ef3dc9/,Zoetermeer
177,1556696106,4,https://www.ad.nl/binnenland/niks-zo-vernederend-als-gratis-optreden-voor-een-bosje-slappe-tulpen~aa371e5c/,Zaandam
178,1556696127,1,https://www.ad.nl/koken-en-eten/amsterdams-restaurant-serveert-stukjes-mens-om-bezoekers-te-laten-nadenken~abb9f427/,Braamt
179,1556696335,4,https://www.ad.nl/tilburg/vrouw-59-in-drunen-van-fiets-gereden-en-naar-auto-gesleurd~a8b4087d/,Utrecht
180,1556696371,1,https://www.ad.nl/tech/enorme-roof-bij-grootste-bitcoinbeurs-41-miljoen-dollar-gestolen~a70fcd01/,Pegomas
181,1556696482,3,https://www.ad.nl/binnenland/400-000-kinderen-groeien-op-in-armoede-br-wat-gaan-we-daaraan-doen~ad608210/,Urk
182,1556696726,4,https://www.ad.nl/rotterdam/teddy-uit-spijkenisse-heeft-me-ik-heb-niet-het-standaard-leven-van-een-25-jarige~ae5f2755/,Volendam
183,1556696747,3,https://www.ad.nl/economie/italiaanse-economie-staat-bijna-stil~a0118190/,'s-Gravendeel
184,1556696778,3,https://www.ad.nl/binnenland/vluchtelingen-belaagd-in-eigen-huis-in-enschede~a844bf97/,The Hague
185,1556696797,3,https://www.ad.nl/royalty/dit-is-waarom-harry-en-meghan-zelf-geen-voogdij-hebben-over-zoontje-archie~aab0c4e8/,Haarlem
186,1556696805,1,https://www.ad.nl/show/zanger-dotan-maakt-comeback-na-trollenschandaal~a9435a22/,The Hague
187,1556696847,2,https://www.ad.nl/den-haag/dolf-de-vries-als-ik-door-een-ziekenhuis-loop-is-het-nog-steeds-goedemorgen-dokter~a4f18421/,Groningen
188,1556696905,3,https://www.ad.nl/binnenland/man-en-vrouw-tijdens-uitlaten-hond-doodgestoken-op-heide-bij-heerlen~a8689b91/,Maastricht
